iter	Logloss
0	0.6324885945
1	0.57904081
2	0.5325221075
3	0.4922841684
4	0.4571375672
5	0.4266931117
6	0.3997626847
7	0.376059781
8	0.3558117371
9	0.3379395099
10	0.322655736
11	0.3089062219
12	0.2971204543
13	0.2868443344
14	0.2777167375
15	0.2695681013
16	0.2627616626
17	0.2563994525
18	0.251073744
19	0.2461802091
20	0.2417366427
21	0.2379712747
22	0.2345373712
23	0.2316444958
24	0.2288386098
25	0.2262443084
26	0.2241602139
27	0.2222813681
28	0.220668156
29	0.219086415
30	0.2175657974
31	0.2162531371
32	0.2150120283
33	0.213937356
34	0.2128137095
35	0.2117656561
36	0.2109097798
37	0.2098382773
38	0.2092089841
39	0.2087028039
40	0.2080927853
41	0.2075457329
42	0.2069476191
43	0.20631001
44	0.2056934402
45	0.2052246215
46	0.2046633094
47	0.2041442831
48	0.2036609729
49	0.203357834
50	0.2029194606
