iter	Passed	Remaining
0	5	2891
1	9	2319
2	11	1951
3	14	1773
4	17	1762
5	22	1836
6	24	1721
7	29	1796
8	32	1772
9	34	1698
10	36	1641
11	39	1592
12	42	1577
13	44	1536
14	46	1503
15	49	1506
16	53	1513
17	56	1512
18	60	1524
19	63	1523
20	67	1535
21	70	1533
22	74	1552
23	79	1570
24	81	1545
25	85	1560
26	88	1548
27	92	1560
28	94	1537
29	98	1537
30	100	1518
31	104	1529
32	107	1515
33	111	1532
34	114	1520
35	116	1504
36	119	1489
37	122	1494
38	126	1492
39	129	1490
40	133	1490
41	135	1475
42	138	1467
43	141	1466
44	144	1457
45	146	1444
46	148	1433
47	151	1428
48	154	1421
49	158	1430
50	162	1429
